Fuel,Hydrogen Source,Carbon Source,Electricity Source,Pathway Name,Region,Number,Year,CapEx [$/tonne],OpEx [$/tonne],LCOF [$/tonne],Emissions [kg CO2e / kg fuel],Comment
methanol,SMR,SMR,grid,SMR_H_C_grid_E,South Africa,1,2024,174.155892187282,1770.3339233523106,1944.4898155395927,1.6883299234166307,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Taiwan,1,2024,120.96542265225007,1841.655282213141,1962.620704865391,1.21945537838777,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Switzerland,1,2024,157.9985721403503,1905.8829688162584,2063.8815409566087,1.21945537838777,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Singapore,1,2024,118.248705122235,1847.694902362195,1965.94360748443,1.5232136274703603,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Hungary,1,2024,132.11826303862776,1478.444452027065,1610.5627150656926,1.3371965345688661,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Philippines,1,2024,99.37466754528818,1433.3189337885278,1532.693601333816,1.620750679928073,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Netherlands,1,2024,161.28723020300006,1546.933792503182,1708.221022706182,1.3817849014066774,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Norway,1,2024,189.45530143526162,1484.7911529288149,1674.2464543640765,1.2159719122285662,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Oman,1,2024,136.55080216654707,1507.220704551481,1643.7715067180281,1.5887027912633962,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Italy,1,2024,132.97617383757986,1653.1585194778,1786.1346933153798,1.4256765750126483,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Austria,1,2024,148.70453848503556,1494.5555206081074,1643.260059093143,1.272404064007671,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Finland,1,2024,164.7188733988086,1296.5154785601626,1461.2343519589713,1.2501098805887656,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Portugal,1,2024,130.11647117440612,1245.2917875903154,1375.4082587647215,1.3107221917589156,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Germany,1,2024,148.9905087513529,1252.8839177280367,1401.8744264793897,1.4605112366046882,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Greece,1,2024,131.546322505993,1184.7414190856243,1316.2877415916173,1.429856734403693,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,France,1,2024,146.98871688713132,1177.3056938943585,1324.2944107814897,1.2340859362564274,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Brazil,1,2024,145.84483582186178,1027.4504153691773,1173.2952511910391,1.2633470519937409,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,United Kingdom,1,2024,145.27289528922705,965.3163001847621,1110.589195473989,1.3608841044514532,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Spain,1,2024,125.11199151385202,929.9962882676926,1055.1082797815448,1.316295737613642,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Sweden,1,2024,173.29798138832987,913.0061870028328,1086.3041683911626,1.223635537778815,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Czech Republic,1,2024,128.11467931018447,914.8599180377499,1042.9745973479344,1.5671053010763307,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Japan,1,2024,153.70901814558962,904.4855172400677,1058.1945353856572,1.5329673327161313,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Belgium,1,2024,163.86096259985646,912.9166583794407,1076.7776209792971,1.291214781267373,liquid methanol at STP
methanol,SMR,SMR,grid,SMR_H_C_grid_E,Poland,1,2024,133.69109950337332,1110.60873274261,1244.2998322459835,1.6562820347519538,liquid methanol at STP
